         1030043 function calls (1008679 primitive calls) in 7.531 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      708    0.012    0.000    0.093    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:358(_get_layout)
        1    0.000    0.000    0.089    0.089 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1610(__init__)
        1    0.000    0.000    0.089    0.089 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1387(__init__)
        1    0.000    0.000    0.089    0.089 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:843(__init__)
        1    0.000    0.000    0.089    0.089 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1186(_setup_blit)
        1    0.000    0.000    0.088    0.088 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:3500(new_figure_manager)
        1    0.000    0.000    0.088    0.088 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:3509(new_figure_manager_given_figure)
        1    0.000    0.000    0.088    0.088 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:1786(new_manager)
        1    0.000    0.000    0.088    0.088 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:476(create_with_canvas)
        7    0.000    0.000    0.075    0.011 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1139(_post_draw)
        5    0.000    0.000    0.075    0.015 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1149(_blit_draw)
      395    0.002    0.000    0.075    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:918(get_window_extent)
       28    0.000    0.000    0.071    0.003 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:80(update_gui)
1965/1767    0.002    0.000    0.071    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\cbook.py:285(process)
      600    0.000    0.000    0.070    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3143(draw_artist)
      399    0.003    0.000    0.069    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:737(draw)
    18/15    0.000    0.000    0.067    0.004 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:1215(_process)
        1    0.000    0.000    0.064    0.064 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\keyboard\_win32.py:274(__init__)
       28    0.000    0.000    0.064    0.002 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\mini_window.py:47(update_values)
       16    0.000    0.000    0.063    0.004 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\legend.py:748(draw)
       28    0.000    0.000    0.062    0.002 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\mini_window.py:52(adjust_size)
        2    0.000    0.000    0.057    0.029 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\__init__.py:1470(inner)
        2    0.001    0.000    0.057    0.028 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_axes.py:2325(bar)
     1294    0.001    0.000    0.055    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:306(get_transform)
      100    0.000    0.000    0.055    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1347(_get_ticklabel_bboxes)
      150    0.002    0.000    0.055    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1295(_update_ticks)
       17    0.000    0.000    0.053    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
     1416    0.002    0.000    0.053    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
      124    0.000    0.000    0.052    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:269(draw)
   144/16    0.000    0.000    0.051    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:31(draw_wrapper)
    80/16    0.001    0.000    0.051    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:374(draw)
     1160    0.004    0.000    0.049    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:790(get_patch_transform)
        1    0.000    0.000    0.046    0.046 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:7(__init__)
        1    0.000    0.000    0.046    0.046 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:13(setup_settings_frame)
      196    0.000    0.000    0.043    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
      120    0.001    0.000    0.043    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:2406(add_patch)
      990    0.006    0.000    0.042    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:574(_draw_paths_with_artist_properties)
      400    0.001    0.000    0.041    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:249(_prepare_font)
  208/112    0.002    0.000    0.040    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:473(_get_bbox_and_child_offsets)
        1    0.000    0.000    0.039    0.039 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:248(resize)
       33    0.000    0.000    0.039    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2644(_update_label_position)
        1    0.000    0.000    0.038    0.038 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1201(_on_resize)
       22    0.000    0.000    0.035    0.002 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
